entry_time,exit_time,side,entry_price,exit_price,pnl_pct,exit_reason,max_fav_R,pnl_equity_pct
2023-07-07 06:30:00,2023-07-07 07:45:00,buy,30141.54,30007.4,-0.28174217778110416,SL,-0.28896196063587803,-0.28174217778110416
2023-07-07 10:45:00,2023-07-07 13:45:00,buy,30165.88,30385.39,0.6307247342186248,TP,2.6919981522352994,0.6307247342186248
2023-07-07 16:45:00,2023-07-07 19:45:00,sell,30354.85,30246.2,0.37442350539329977,SL,1.9372986345089214,0.37442350539329977
2023-07-07 22:45:00,2023-07-08 04:30:00,buy,30304.08,30235.51,-0.17787672851654054,SL,0.9524327144658207,-0.17787672851654054
2023-07-08 07:45:00,2023-07-08 08:15:00,sell,30193.36,30266.33,-0.11943444872612484,SL,-0.8469200796016108,-0.11943444872612484
2023-07-08 11:15:00,2023-07-08 16:30:00,sell,30196.0,30283.99,-0.11697349637132089,SL,0.7924459442807005,-0.11697349637132089
2023-07-08 19:30:00,2023-07-08 21:15:00,sell,30126.33,30191.91,-0.16955164259151126,SL,0.28681441375301253,-0.16955164259151126
2023-07-09 00:15:00,2023-07-09 00:45:00,buy,30251.98,30336.01,0.27653406472484543,TP,2.3437164389573706,0.27653406472484543
2023-07-09 03:45:00,2023-07-09 09:45:00,sell,30287.99,30276.0,0.03958741948008537,TIME,0.7302397141712523,0.03958741948008537
2023-07-09 12:45:00,2023-07-09 13:45:00,buy,30329.99,30265.14,-0.10776385146328021,SL,-0.04714782546341219,-0.10776385146328021
2023-07-09 17:00:00,2023-07-09 20:30:00,buy,30278.84,30196.01,-0.24726094500997722,SL,0.12621214492818525,-0.24726094500997722
2023-07-09 23:30:00,2023-07-10 00:30:00,sell,30139.63,30107.22,0.18771633001262875,SL,1.7705877785111621,0.18771633001262875
2023-07-10 04:15:00,2023-07-10 06:30:00,buy,30141.92,30050.3,-0.2100915071217103,SL,-0.054159561859189985,-0.2100915071217103
2023-07-10 09:30:00,2023-07-10 12:30:00,buy,30143.19,30171.64,0.19888332281141094,SL,1.711938164801196,0.19888332281141094
2023-07-10 15:30:00,2023-07-10 18:45:00,buy,30298.91,30529.0,0.6493155887800705,TP,2.728923728381654,0.6493155887800705
2023-07-10 21:45:00,2023-07-11 01:15:00,sell,30302.21,30486.01,-0.5898642473673174,SL,0.05589195315097666,-0.5898642473673174
2023-07-11 04:15:00,2023-07-11 06:00:00,sell,30477.79,30540.33,-0.2011145118523205,SL,0.649137708926823,-0.2011145118523205
2023-07-11 09:00:00,2023-07-11 13:45:00,sell,30478.81,30450.0,0.1635970804035853,SL,1.6149884702729231,0.1635970804035853
2023-07-11 16:45:00,2023-07-11 18:15:00,buy,30649.3,30490.0,-0.4728403648074611,SL,-0.001522906946342478,-0.4728403648074611
2023-07-11 21:15:00,2023-07-12 00:15:00,buy,30526.23,30554.67,0.22036540771388557,SL,1.9484700305827003,0.22036540771388557
2023-07-12 03:15:00,2023-07-12 04:00:00,buy,30627.02,30566.98,-0.17761529173212562,SL,-0.6757524745670329,-0.17761529173212562
2023-07-12 07:00:00,2023-07-12 08:15:00,buy,30722.93,30714.01,0.0,SL,1.4487260986110344,0.0
2023-07-12 11:15:00,2023-07-12 12:45:00,buy,30731.34,30721.17,0.0,SL,1.4970874127101343,0.0
2023-07-12 15:45:00,2023-07-12 21:45:00,sell,30524.63,30356.01,0.5524099469184875,TIME,1.2370978873704828,0.5524099469184875
2023-07-13 00:45:00,2023-07-13 05:15:00,sell,30353.51,30312.93,0.14124116821002827,SL,1.9583164935833284,0.14124116821002827
2023-07-13 08:15:00,2023-07-13 09:30:00,buy,30412.49,30591.61,0.36303957403397513,TP,3.7854091779646075,0.36303957403397513
2023-07-13 12:30:00,2023-07-13 14:00:00,buy,30576.01,30548.91,0.0,SL,1.2636747896651488,0.0
2023-07-13 17:00:00,2023-07-13 18:00:00,buy,30839.99,31389.15,1.3220190531077323,TP,3.142851485540604,1.3220190531077323
2023-07-13 21:00:00,2023-07-13 23:30:00,sell,31160.55,31479.7,-0.8581726619733135,SL,0.017843239508423547,-0.8581726619733135
2023-07-14 02:45:00,2023-07-14 06:15:00,buy,31459.24,31333.0,-0.3317701777110839,SL,0.4218481751840432,-0.3317701777110839
2023-07-14 09:15:00,2023-07-14 11:15:00,sell,31212.77,31225.41,0.0,SL,1.2419580714112972,0.0
2023-07-14 14:15:00,2023-07-14 14:45:00,sell,31209.36,31300.56,-0.2762194019036029,SL,-0.3553204036465178,-0.2762194019036029
2023-07-14 17:45:00,2023-07-14 18:30:00,sell,30688.64,30166.51,1.1145054180776353,TP,3.5620196561244,1.1145054180776353
2023-07-14 21:30:00,2023-07-15 03:30:00,sell,30181.95,30322.33,-0.4651153087615967,TIME,-0.11587901778932894,-0.4651153087615967
2023-07-15 06:30:00,2023-07-15 07:00:00,sell,30292.01,30344.4,-0.11326636544623987,SL,-0.5677672656774672,-0.11326636544623987
2023-07-15 10:00:00,2023-07-15 10:45:00,buy,30360.12,30325.43,-0.11291576771604776,SL,-0.12015685585083825,-0.11291576771604776
2023-07-15 14:00:00,2023-07-15 19:00:00,sell,30309.15,30343.0,-0.10667968234154962,SL,0.9012460736599103,-0.10667968234154962
2023-07-15 22:00:00,2023-07-15 22:15:00,sell,30286.13,30308.25,-0.072024547348093,SL,-1.0140139218258768,-0.072024547348093
2023-07-16 01:15:00,2023-07-16 01:30:00,buy,30319.79,30275.92,-0.08056641460773613,SL,-1.7958866181450035,-0.08056641460773613
2023-07-16 04:30:00,2023-07-16 06:15:00,sell,30168.36,30256.51,-0.26148678269459164,SL,0.20421011826190494,-0.26148678269459164
2023-07-16 09:15:00,2023-07-16 14:15:00,buy,30317.35,30403.99,0.24006726243475593,TP,2.777628692979417,0.24006726243475593
