mode,trades,winrate,total_pnl,profit_factor,score,max_dd,tpd,proj_month,cfg__symbol,cfg__market_symbol,cfg__days,cfg__poll_seconds,cfg__status_heartbeat_seconds,cfg__tf_signal,cfg__tf_confirm,cfg__tf_entry,cfg__tf_trend,cfg__live_chart_tf,cfg__mode,cfg__signal_engine,cfg__use_1h_trend_filter,cfg__feature_prob__ret_1_weight,cfg__feature_prob__ret_3_weight,cfg__feature_prob__ret_12_weight,cfg__feature_prob__range_pos_weight,cfg__feature_prob__vol_ratio_weight,cfg__feature_prob__realized_vol_weight,cfg__feature_prob__slope_weight,cfg__feature_prob__trend_weight,cfg__feature_prob__breakout_weight,cfg__feature_prob__long_threshold,cfg__feature_prob__short_threshold,cfg__feature_prob__persistence_bars,cfg__risk_engine__sl_vol_mult,cfg__risk_engine__tp_vol_mult,cfg__risk_engine__breakeven_R,cfg__risk_engine__trail_start_R,cfg__risk_engine__trail_vol_mult,cfg__risk_engine__risk_per_trade_pct,cfg__risk_engine__max_hold_minutes,cfg__risk_engine__cooldown_minutes,cfg__execution__fees_enabled,cfg__execution__fee_rate_roundtrip,cfg__execution__slippage_roundtrip_pct,cfg__execution__label_exits,cfg__legacy__ema_fast_trend,cfg__legacy__ema_slow_trend,cfg__legacy__ema_fast_signal,cfg__legacy__ema_slow_signal,cfg__legacy__donchian_window_signal,cfg__legacy__rsi_len_signal,cfg__legacy__rsi_long,cfg__legacy__rsi_short,cfg__legacy__atr_len_signal,cfg__legacy__atr_ma_window_signal,cfg__legacy__atr_min_mult,cfg__legacy__breakout_buffer_atr,cfg__legacy__sl_atr_mult,cfg__legacy__tp_atr_mult,cfg__legacy__breakeven_R,cfg__legacy__trail_start_R,cfg__legacy__trail_atr_mult
legacy_classic,4,0.0,-1.1097516232482403,0.0,-20.84319163379036,-0.883056473162205,8.767123287671232,-72.9699697478295,BTC/USDT:USDT,BTCUSDT,60,10,60,30m,3m,5m,1h,1h,legacy_classic,legacy_classic,True,0.1,0.12,0.14,0.1,0.08,0.08,0.12,0.16,0.1,0.58,0.58,2,1.2,2.8,1.0,1.5,1.0,0.4597105459240548,579,174,True,0.001,0.0001,True,44,109,70,96,71,21,58.741460611147964,45.513409524289045,14,77,0.6331302085820321,0.3141603200785523,1.6863072682338078,5.389588239136288,2.917222760120903,1.8327624730709242,1.7471116510760183
legacy_classic,2,0.0,-0.25698484800506816,0.0,-13.40244409381707,-0.1498962358439104,6.140724946695096,-23.671099006010543,BTC/USDT:USDT,BTCUSDT,60,10,60,30m,5m,15m,1h,1h,legacy_classic,legacy_classic,False,0.1,0.12,0.14,0.1,0.08,0.08,0.12,0.16,0.1,0.58,0.58,2,1.2,2.8,1.0,1.5,1.0,0.2607866924771183,103,335,True,0.001,0.0001,True,63,209,33,40,49,28,74.48117238457368,49.5538756089057,30,120,0.7561730430342269,0.36811866171299407,2.0250540070888574,6.0,2.789511103630387,2.4883989402515097,1.0993742777683126
legacy_classic,2,0.0,-0.26399881397654773,0.0,-13.453937762595041,-0.1466582579588384,6.075949367088608,-24.060651400394224,BTC/USDT:USDT,BTCUSDT,60,10,60,30m,1m,15m,1h,1h,legacy_classic,legacy_classic,False,0.1,0.12,0.14,0.1,0.08,0.08,0.12,0.16,0.1,0.58,0.58,2,1.2,2.8,1.0,1.5,1.0,0.28575265735289546,138,273,True,0.001,0.0001,True,53,155,36,40,48,30,71.08610347208666,40.08052553017106,27,91,0.8831026309936383,0.5195504630687392,2.0250540070888574,5.7921716738448605,2.689632350945485,2.3182682878093037,1.4512308374056264
legacy_classic,2,0.0,-0.25613525158927253,0.0,-13.35701481731715,-0.14228984302659986,6.075949367088608,-23.343972296743825,BTC/USDT:USDT,BTCUSDT,60,10,60,30m,15m,15m,1h,1h,legacy_classic,legacy_classic,False,0.1,0.12,0.14,0.1,0.08,0.08,0.12,0.16,0.1,0.58,0.58,2,1.2,2.8,1.0,1.5,1.0,0.2607866924771183,30,325,True,0.001,0.0001,True,52,164,55,57,24,28,69.95080588866804,43.77194498979024,23,92,0.7561730430342269,0.4780410063381303,1.9048657816635088,5.602249409849505,2.689632350945485,2.1568821291630873,1.4512308374056264
legacy_classic,2,0.0,-0.26647008498265573,0.0,-12.799408237454301,-0.15498889379987413,4.63768115942029,-18.53704939009779,BTC/USDT:USDT,BTCUSDT,60,10,60,30m,1m,3m,1h,1h,legacy_classic,legacy_classic,False,0.1,0.12,0.14,0.1,0.08,0.08,0.12,0.16,0.1,0.58,0.58,2,1.2,2.8,1.0,1.5,1.0,0.293705843237795,138,325,True,0.001,0.0001,True,53,164,41,81,49,28,73.11242680864666,43.33717615705549,27,107,0.6578330068697626,0.5736432493790691,2.190813762172231,5.7921716738448605,2.4350011819073565,1.810070347555667,1.4512308374056264
legacy_classic,2,0.0,-0.27891542146198045,0.0,-12.920812147256608,-0.16222756351404974,4.63768115942029,-19.402811927789944,BTC/USDT:USDT,BTCUSDT,60,10,60,30m,1m,15m,1h,1h,legacy_classic,legacy_classic,False,0.1,0.12,0.14,0.1,0.08,0.08,0.12,0.16,0.1,0.58,0.58,2,1.2,2.8,1.0,1.5,1.0,0.3100759904149457,225,325,True,0.001,0.0001,True,61,164,41,81,44,24,72.11971125322772,47.55827769269215,26,127,0.7561730430342269,0.5817663348097043,2.2097184718374763,5.7921716738448605,2.689632350945485,1.144250440081425,1.5771349657632194
feature_prob,1,0.0,-0.304470233872108,0.0,-3378.5281626268797,0.0,1440.0,-13153.114103275064,BTC/USDT:USDT,BTCUSDT,60,10,60,1h,5m,15m,4h,5m,feature_prob,feature_prob,False,0.06051150104979365,0.1756541542040048,0.24164179834518984,0.16165984143231674,0.23151206108763642,0.19816753358546216,0.15016465605766216,0.2959777255104342,0.15626916238465138,0.5912378707664124,0.5766440821278013,1,1.2741780236271993,3.248288200794459,2.0758096791059106,2.7095489340349665,1.8363769408909871,0.40275695790223776,566,181,True,0.001,0.0001,True,50,200,50,200,96,14,58.0,42.0,14,96,1.25,0.55,1.1,3.2,1.0,1.5,1.0
feature_prob,1,0.0,-0.5273341055236228,0.0,-4534.077337139984,0.0,1440.0,-22780.833358620504,BTC/USDT:USDT,BTCUSDT,60,10,60,1h,3m,5m,1h,15m,feature_prob,feature_prob,False,0.22247359534439184,0.22230777508637242,0.12564325848441732,0.022334756320895738,0.23805439288871716,0.03969098125034489,0.22162090594917438,0.19145913252312408,0.1943778703009673,0.6612157744948394,0.6527215509507809,4,1.5618967342971704,1.4706973633283278,1.3002004882448455,2.2132033860337845,0.9866103277535143,0.6975640194371344,437,257,True,0.001,0.0001,True,50,200,50,200,96,14,58.0,42.0,14,96,1.25,0.55,1.1,3.2,1.0,1.5,1.0
legacy_classic,3,0.0,-1.6641973789804845,0.0,-25.263202230345392,-1.2075032569159108,6.486486486486486,-107.94793809603142,BTC/USDT:USDT,BTCUSDT,60,10,60,15m,5m,5m,4h,15m,legacy_classic,legacy_classic,False,0.1,0.12,0.14,0.1,0.08,0.08,0.12,0.16,0.1,0.58,0.58,2,1.2,2.8,1.0,1.5,1.0,0.8493655269943611,333,121,True,0.001,0.0001,True,39,164,39,70,69,17,52.98886853137632,38.39659913459374,29,67,0.8681573622147626,0.7778139554826081,1.546548992815461,4.153141076823559,2.4005197384327066,3.008125739895517,2.4590723239712773
legacy_classic,2,0.0,-0.3307441742788732,0.0,-13.426400183594657,-0.1923730902310175,4.63768115942029,-23.008290384617265,BTC/USDT:USDT,BTCUSDT,60,10,60,30m,1m,15m,1h,5m,legacy_classic,legacy_classic,False,0.1,0.12,0.14,0.1,0.08,0.08,0.12,0.16,0.1,0.58,0.58,2,1.2,2.8,1.0,1.5,1.0,0.3407185364842692,138,313,True,0.001,0.0001,True,57,170,29,103,29,25,73.84399714807383,46.649365013732016,27,98,0.8931240878363758,0.6109679879816943,2.04759892244733,5.696823491584656,2.689632350945485,1.774539487779036,1.5452480178087404
legacy_classic,2,0.0,-0.2443525862734918,0.0,-13.211786666335973,-0.13574426373669465,6.075949367088608,-22.270109128723302,BTC/USDT:USDT,BTCUSDT,60,10,60,30m,1m,15m,1h,1h,legacy_classic,legacy_classic,False,0.1,0.12,0.14,0.1,0.08,0.08,0.12,0.16,0.1,0.58,0.58,2,1.2,2.8,1.0,1.5,1.0,0.2607866924771183,30,351,True,0.001,0.0001,True,50,164,41,71,61,26,72.11971125322772,43.77194498979024,25,107,0.9083654897389813,0.5195504630687392,1.9967182818523275,5.645083671443886,2.7231441575664372,1.8961548139686006,1.4512308374056264
legacy_classic,2,0.0,-0.2960879541508292,0.0,-13.856299623880815,-0.16448252933973087,6.088794926004228,-27.04228249326812,BTC/USDT:USDT,BTCUSDT,60,10,60,30m,1m,15m,1h,1h,legacy_classic,legacy_classic,False,0.1,0.12,0.14,0.1,0.08,0.08,0.12,0.16,0.1,0.58,0.58,2,1.2,2.8,1.0,1.5,1.0,0.32049106581830383,177,325,True,0.001,0.0001,True,53,184,53,81,66,30,67.53283289479603,43.71066971698766,27,142,0.6,0.34294993417673547,2.0250540070888574,5.7921716738448605,2.689632350945485,2.513827352901763,0.9448134936711254
legacy_classic,2,0.0,-0.2948094334725622,0.0,-13.075857790557217,-0.17147211094503934,4.63768115942029,-20.508482328526068,BTC/USDT:USDT,BTCUSDT,60,10,60,30m,1m,3m,1h,1h,legacy_classic,legacy_classic,False,0.1,0.12,0.14,0.1,0.08,0.08,0.12,0.16,0.1,0.58,0.58,2,1.2,2.8,1.0,1.5,1.0,0.32494174067663684,138,347,True,0.001,0.0001,True,53,149,37,103,57,29,73.11242680864666,43.615284465748125,29,121,0.6,0.5736432493790691,2.190813762172231,6.0,2.165147428001352,1.810070347555667,1.4512308374056264
legacy_classic,2,0.0,-0.24316818045833266,0.0,-12.572098809557952,-0.14143564107399986,4.63768115942029,-16.916047336231838,BTC/USDT:USDT,BTCUSDT,60,10,60,30m,1m,3m,1h,1h,legacy_classic,legacy_classic,False,0.1,0.12,0.14,0.1,0.08,0.08,0.12,0.16,0.1,0.58,0.58,2,1.2,2.8,1.0,1.5,1.0,0.23244539917744914,138,308,True,0.001,0.0001,True,49,140,50,60,49,29,73.11242680864666,41.05412442262211,27,107,0.7589818304534042,0.6005309931478716,1.900008498155234,5.9935295023047495,2.726371131355783,2.1779621304027597,1.4733357151611914
feature_prob,1,0.0,-0.24839473871486956,0.0,-3087.7767202365985,0.0,1440.0,-10730.652712482364,BTC/USDT:USDT,BTCUSDT,60,10,60,1h,1m,1m,1h,5m,feature_prob,feature_prob,False,0.22778753427161177,0.051957651856075315,0.28680447420028565,0.08747458847199803,0.10621345064832242,0.053481053010861646,0.1687265690816528,0.21543769919394043,0.20227947899261925,0.5622968933229385,0.545003986625399,4,1.8535076265136061,2.3874021466108832,2.3518093272400433,1.429353160385529,1.422299826709995,0.32857960547218806,321,356,True,0.001,0.0001,True,50,200,50,200,96,14,58.0,42.0,14,96,1.25,0.55,1.1,3.2,1.0,1.5,1.0
feature_prob,1,0.0,-0.46063688256629975,0.0,-4188.252236106264,0.0,1440.0,-19899.51332686415,BTC/USDT:USDT,BTCUSDT,60,10,60,1h,5m,3m,1h,15m,feature_prob,feature_prob,False,0.24715988990024843,0.11778010477218079,0.338229012575267,0.17877210786582967,0.1250722369135909,0.08948798422381214,0.29982459834005015,0.3045339921846576,0.044530251507143015,0.6024592165549495,0.5982022399396767,3,2.487576474165726,2.6104460909214042,2.4625056237806664,2.974689447786042,1.0489607603564555,0.6093361152601291,110,325,True,0.001,0.0001,True,50,200,50,200,96,14,58.0,42.0,14,96,1.25,0.55,1.1,3.2,1.0,1.5,1.0
legacy_classic,1,0.0,-0.466619250745521,0.0,-4220.020815115526,0.0,1440.0,-20157.951632206506,BTC/USDT:USDT,BTCUSDT,60,10,60,15m,3m,5m,15m,1h,legacy_classic,legacy_classic,True,0.1,0.12,0.14,0.1,0.08,0.08,0.12,0.16,0.1,0.58,0.58,2,1.2,2.8,1.0,1.5,1.0,0.585466983085979,404,276,True,0.001,0.0001,True,59,164,27,200,44,27,66.15851522226308,32.7233220988159,21,28,1.4114033275157638,0.7725058027483526,1.0433601145147913,2.827997032331199,2.3687021623459286,1.4498682606439346,0.6775355752682455
legacy_classic,3,0.0,-0.9000859696049299,0.0,-18.663986977350007,-0.6430569573906992,6.956521739130435,-62.6146761464299,BTC/USDT:USDT,BTCUSDT,60,10,60,5m,3m,3m,4h,5m,legacy_classic,legacy_classic,True,0.1,0.12,0.14,0.1,0.08,0.08,0.12,0.16,0.1,0.58,0.58,2,1.2,2.8,1.0,1.5,1.0,0.47731653864257695,46,128,True,0.001,0.0001,True,73,100,12,116,138,28,67.9773493752713,35.60320074333504,19,78,0.9465168539052857,0.4442357747394827,1.5442542650468438,5.718346625107801,2.312559864772296,1.2175251634359663,2.0999041854323086
legacy_classic,2,0.0,-0.12299688725656874,0.0,-11.32919880999485,-0.07179442906057304,4.31784107946027,-7.966215186632339,BTC/USDT:USDT,BTCUSDT,60,10,60,5m,3m,5m,15m,15m,legacy_classic,legacy_classic,True,0.1,0.12,0.14,0.1,0.08,0.08,0.12,0.16,0.1,0.58,0.58,2,1.2,2.8,1.0,1.5,1.0,0.1304413814482215,106,347,True,0.001,0.0001,True,51,240,53,105,145,30,66.04236135996769,37.264889564519564,12,110,0.8369719952042544,0.7622665011477796,2.118454067386158,5.626047253624651,1.855342138378388,3.1746950137747563,0.5233373083195333
legacy_classic,4,0.0,-1.0426375334500846,0.0,-21.318086294806182,-0.8249843740439323,9.27536231884058,-72.5313066747885,BTC/USDT:USDT,BTCUSDT,60,10,60,5m,3m,1m,1h,15m,legacy_classic,legacy_classic,True,0.1,0.12,0.14,0.1,0.08,0.08,0.12,0.16,0.1,0.58,0.58,2,1.2,2.8,1.0,1.5,1.0,0.7333917244081335,436,127,True,0.001,0.0001,True,75,118,34,245,75,22,55.222227213806256,47.67582068833789,16,23,0.8965308808686112,0.31152014298562636,2.801983048146618,4.860956523553089,2.385826857367919,4.183432798069677,1.8608151999804616
legacy_classic,2,0.0,-0.11704068412149485,0.0,-11.293950616019908,-0.0702494298290362,4.4036697247706424,-7.731127758484065,BTC/USDT:USDT,BTCUSDT,60,10,60,5m,3m,3m,15m,15m,legacy_classic,legacy_classic,True,0.1,0.12,0.14,0.1,0.08,0.08,0.12,0.16,0.1,0.58,0.58,2,1.2,2.8,1.0,1.5,1.0,0.1304413814482215,70,347,True,0.001,0.0001,True,51,240,49,98,145,30,64.03561656434765,39.0161653884985,12,110,0.8369719952042544,0.7622665011477796,2.3187885398830126,5.324610988627273,1.7027446899752894,3.453433309925866,0.5233373083195333
